name,stars,forks,watchers,open_issues,primary_language,languages,created_at,updated_at
leetcode,33144,8565,33144,15,Java,"['Java', 'C++', 'Python', 'TypeScript', 'Go', 'Rust', 'JavaScript', 'C#', 'Swift', 'C', 'Hack', 'Kotlin', 'PHP', 'Ruby', 'Nim', 'Scala', 'Shell', 'Dockerfile', 'Dart']",2018-09-16T14:03:03Z,2025-03-03T21:30:13Z
fastify,33137,2360,33137,94,JavaScript,"['JavaScript', 'TypeScript', 'Shell']",2016-09-28T19:10:14Z,2025-03-03T21:47:39Z
zxing,33110,9384,33110,15,Java,"['Java', 'HTML', 'CSS']",2011-10-12T14:07:27Z,2025-03-03T21:29:12Z
solid,33100,952,33100,121,TypeScript,"['TypeScript', 'JavaScript', 'CSS']",2018-04-24T16:36:27Z,2025-03-03T17:00:55Z
gulp,33096,4225,33096,34,JavaScript,['JavaScript'],2013-07-04T05:26:06Z,2025-03-03T15:11:46Z
Coursera-ML-AndrewNg-Notes,33087,10787,33087,67,HTML,"['HTML', 'Jupyter Notebook']",2017-11-04T10:04:08Z,2025-03-03T19:42:16Z
NewPipe,33083,3148,33083,1197,Java,"['Java', 'Kotlin', 'HTML']",2015-09-03T23:39:26Z,2025-03-03T21:43:38Z
AgentGPT,33052,9354,33052,204,TypeScript,"['TypeScript', 'Python', 'JavaScript', 'MDX', 'CSS', 'Shell', 'Dockerfile', 'Batchfile']",2023-04-07T02:29:19Z,2025-03-03T21:02:03Z
immutable-js,33022,1780,33022,126,TypeScript,"['TypeScript', 'JavaScript', 'CSS', 'Shell']",2014-07-02T06:02:29Z,2025-03-03T20:47:11Z
payload,32915,2160,32915,477,TypeScript,"['TypeScript', 'SCSS', 'JavaScript', 'Dockerfile', 'CSS', 'MDX', 'Shell']",2021-01-05T18:49:45Z,2025-03-03T21:50:03Z
JavaScript,32907,5659,32907,118,JavaScript,"['JavaScript', 'TypeScript', 'Shell']",2017-07-13T06:12:33Z,2025-03-03T21:52:40Z
ladybird,32898,1373,32898,420,C++,"['C++', 'HTML', 'JavaScript', 'CMake', 'Objective-C++', 'Swift', 'Python', 'CSS', 'Shell', 'C', 'Kotlin', 'Objective-C', 'Java', 'Dockerfile', 'Nix']",2024-05-30T09:18:10Z,2025-03-03T21:53:24Z
linux-command,32883,6286,32883,79,Markdown,"['Markdown', 'HTML', 'JavaScript', 'Stylus', 'Smarty', 'Dockerfile']",2016-11-12T15:44:26Z,2025-03-03T19:29:19Z
milvus,32869,3051,32869,704,Go,"['Go', 'C++', 'Python', 'Shell', 'Groovy', 'CMake', 'C', 'Dockerfile', 'Makefile', 'HTML', 'ANTLR', 'Batchfile', 'Assembly']",2019-09-16T06:43:43Z,2025-03-03T19:31:23Z
ijkplayer,32761,8160,32761,2880,C,"['C', 'Objective-C', 'Java', 'Shell', 'Makefile', 'C++', 'Ruby']",2013-06-03T04:12:04Z,2025-03-03T20:46:52Z
